TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2015,Laki-laki,Arsitektur,MAN,IPA,MENENGAH,DASAR,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,DASAR,MENENGAH,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMKN,TEKNIK,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,TI,SMAN,IPA,DASAR,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
2015,Perempuan,TI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2015,Perempuan,TI,SMKN,EKONOMI,DASAR,MENENGAH,100-500,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMKN,EKONOMI,MENENGAH,DASAR,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
2015,Perempuan,SI,SMKN,EKONOMI,MENENGAH,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMKN,TEKNIK,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMKN,TEKNIK,TINGGI,MENENGAH,1.000-2.000,Sangat Baik,Memuaskan
2015,Laki-laki,TI,MAS,IPS,MENENGAH,MENENGAH,1.000-2.000,Kurang,Cukup
2015,Laki-laki,TI,SMAN,IPS,MENENGAH,MENENGAH,1.000-2.000,Kurang,Memuaskan
2015,Perempuan,TI,MAS,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Fisika,MAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
2015,Perempuan,Fisika,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,Kimia,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,MAN,IPA,DASAR,DASAR,500-1.000,Cukup,Sangat Memuaskan
2015,Perempuan,Kimia,SMKS,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,MAS,IPS,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,Kimia,MAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,MENENGAH,DASAR,5.000-20.000,Baik,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMKN,PERTANIAN,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMKN,TEKNIK,MENENGAH,MENENGAH,2.000-5.000,Sangat Baik,Cukup
2015,Perempuan,TI,SMAN,IPA,MENENGAH,DASAR,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,500-1.000,Kurang,Sangat Memuaskan
2015,Perempuan,Biologi,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Biologi,SMAS,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2015,Perempuan,Fisika,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,1.000-2.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPS,MENENGAH,MENENGAH,500-1.000,Sangat Baik,Cukup
2015,Laki-laki,TI,SMAN,IPS,MENENGAH,MENENGAH,1.000-2.000,Kurang,Cukup
2015,Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,2.000-5.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,MENENGAH,DASAR,5.000-20.000,Baik,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Fisika,SMAS,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMKN,TEKNIK,DASAR,MENENGAH,100-500,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMAS,IPS,MENENGAH,DASAR,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Sangat Baik,Sangat Memuaskan
2016,Perempuan,TI,MAN,IPA,MENENGAH,DASAR,5.000-20.000,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMKS,TEKNIK,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,5.000-20.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
2016,Laki-laki,Matematika,SMAS,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,SI,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,SI,SMAN,IPS,MENENGAH,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,TINGGI,MENENGAH,100-500,Kurang,Sangat Memuaskan
2016,Perempuan,Matematika,SMAN,IPA,DASAR,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
