TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2015,Perempuan,Fisika,MAN,IPA,Dasar,Dasar,1.000-2.000,Baik,Sangat Memuaskan
2015,Perempuan,Fisika,SMAN,IPA,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,Kimia,SMAN,IPA,Menengah,Menengah,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,MAN,IPA,Dasar,Dasar,500-1.000,Cukup,Sangat Memuaskan
2015,Perempuan,Kimia,SMKS,Teknik,Menengah,Menengah,1.000-2.000,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,MAS,IPS,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2015,Perempuan,Kimia,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,Kimia,MAN,IPA,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,Menengah,Dasar,5.000-20.000,Baik,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMKN,Pertanian,Dasar,Dasar,500-1.000,Kurang,Sangat Memuaskan
2015,Perempuan,PWK,SMAN,IPA,Tinggi,Tinggi,1.000-2.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,PWK,SMAN,IPA,Tinggi,Menengah,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMKN,Teknik,Menengah,Menengah,2.000-5.000,Sangat Baik,Cukup
2015,Perempuan,TI,SMAN,IPA,Menengah,Dasar,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,Tinggi,Tinggi,500-1.000,Kurang,Sangat Memuaskan
2015,Perempuan,Biologi,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Biologi,SMAS,IPA,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2015,Perempuan,Fisika,SMAN,IPA,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Dasar,Dasar,1.000-2.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPS,Menengah,Menengah,500-1.000,Sangat Baik,Cukup
2015,Laki-laki,TI,SMAN,IPS,Menengah,Menengah,1.000-2.000,Kurang,Cukup
2015,Perempuan,PWK,SMAN,IPA,Menengah,Menengah,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Dasar,Dasar,2.000-5.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Menengah,Dasar,5.000-20.000,Baik,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Dasar,Dasar,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,Peternakan,SMKN,Pertanian,Menengah,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,Fisika,SMAS,IPA,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,Fisika,SMAN,IPA,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMKN,Teknik,Dasar,Menengah,100-500,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMAS,IPS,Menengah,Dasar,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,Tinggi,Tinggi,1.000-2.000,Sangat Baik,Sangat Memuaskan
2016,Perempuan,TI,MAN,IPA,Menengah,Dasar,5.000-20.000,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMKS,Teknik,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,Tinggi,Tinggi,1.000-2.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMAN,IPA,Menengah,Dasar,5.000-20.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,Menengah,Menengah,1.000-2.000,Baik,Sangat Memuaskan
2016,Laki-laki,Matematika,SMAS,IPA,Menengah,Dasar,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,SI,SMAN,IPA,Tinggi,Tinggi,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,SI,SMAN,IPS,Menengah,Tinggi,1.000-2.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,Tinggi,Menengah,100-500,Kurang,Sangat Memuaskan
2016,Perempuan,Matematika,SMAN,IPA,Dasar,Menengah,500-1.000,Kurang,Sangat Memuaskan
2016,Perempuan,Kimia,MAN,IPA,Tinggi,Tinggi,2.000-5.000,Cukup,Sangat Memuaskan
2016,Perempuan,Kimia,SMAS,IPA,Menengah,Menengah,100-500,Baik,Sangat Memuaskan
2016,Perempuan,Matematika,SMAN,IPA,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,Matematika,SMAN,IPS,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2016,Laki-laki,TI,SMAS,IPS,Menengah,Tinggi,5.000-20.000,Cukup,Cukup
2016,Laki-laki,TI,SMAN,IPA,Menengah,Dasar,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,Tinggi,Menengah,2.000-5.000,Kurang,Sangat Memuaskan
2016,Laki-laki,Matematika,SMAN,IPA,Dasar,Menengah,500-1.000,Kurang,Memuaskan
2016,Laki-laki,PWK,SMKN,Teknik,Tinggi,Tinggi,2.000-5.000,Kurang,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,Tinggi,Menengah,5.000-20.000,Kurang,Sangat Memuaskan
2016,Laki-laki,PWK,SMAS,IPA,Menengah,Menengah,500-1.000,Kurang,Memuaskan
2016,Perempuan,Matematika,SMAN,IPA,Menengah,Dasar,1.000-2.000,Kurang,Sangat Memuaskan
2016,Laki-laki,Peternakan,SMAN,IPA,Menengah,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,Tinggi,Menengah,2.000-5.000,Kurang,Sangat Memuaskan
