jenis_kelamin,prodi,smta,jurusan,ayah,ibu,pendapatan,UN,IPK
Perempuan,Kimia,SMKS,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Kimia,MAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,MENENGAH,DASAR,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Sangat Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,500-1.000,Kurang,Sangat Memuaskan
Perempuan,Biologi,SMAS,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,1.000-2.000,Sangat Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPS,MENENGAH,MENENGAH,500-1.000,Sangat Baik,Cukup
Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,DASAR,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Fisika,SMAS,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,Fisika,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Sangat Baik,Sangat Memuaskan
Laki-laki,TI,SMKS,TEKNIK,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,Kimia,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPS,MENENGAH,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
Perempuan,Kimia,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,Kimia,SMAS,IPA,MENENGAH,MENENGAH,100-500,Baik,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPS,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAS,IPS,MENENGAH,TINGGI,5.000-20.000,Cukup,Cukup
Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Matematika,SMAN,IPA,DASAR,MENENGAH,500-1.000,Kurang,Memuaskan
Laki-laki,PWK,SMKN,TEKNIK,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,100-500,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,2.000-5.000,Cukup,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,MENENGAH,5.000-20.000,Kurang,Sangat Memuaskan
Perempuan,Biologi,SMAN,IPS,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,MAN,IPS,DASAR,DASAR,2.000-5.000,Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,MENENGAH,MENENGAH,1.000-2.000,Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,DASAR,MENENGAH,1.000-2.000,Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,MENENGAH,DASAR,500-1.000,Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,MENENGAH,MENENGAH,2.000-5.000,Baik,Cumlaude
Perempuan,Biologi,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,MAN,IPS,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,TINGGI,MENENGAH,2.000-5.000,Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,DASAR,DASAR,1.000-2.000,Baik,Cumlaude
Perempuan,Biologi,SMKN,TEKNIK,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Biologi,SMKS,EKONOMI,MENENGAH,DASAR,500-1.000,Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,MENENGAH,DASAR,5.000-20.000,Sangat Baik,Cumlaude
Laki-laki,Biologi,SMAS,IPS,MENENGAH,TINGGI,1.000-2.000,Baik,Cumlaude
Perempuan,Biologi,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Sangat Baik,Sangat Memuaskan
Laki-laki,Biologi,SMKS,EKONOMI,MENENGAH,DASAR,5.000-20.000,Baik,Cumlaude
Laki-laki,Biologi,MAS,IPS,DASAR,DASAR,500-1.000,Baik,Cumlaude
Laki-laki,Kimia,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Kimia,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,Kimia,SMKS,TEKNIK,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,Kimia,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMKN,TEKNIK,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Kimia,MAS,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,Kimia,MAS,IPA,TINGGI,MENENGAH,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Kimia,MAS,IPA,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,Kimia,MAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAS,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Sangat Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Sangat Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,5.000-20.000,Sangat Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Sangat Baik,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,SI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,SI,SMKN,TEKNIK,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,SI,SMKN,TEKNIK,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,SI,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMKN,TEKNIK,TINGGI,TINGGI,100-500,Cukup,Sangat Memuaskan
Laki-laki,TI,SMKN,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Kurang,Memuaskan
Laki-laki,TI,SMAN,IPA,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,MENENGAH,DASAR,100-500,Sangat Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Sangat Baik,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,TI,MAN,IPA,TINGGI,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Perempuan,SI,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Perempuan,SI,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Sangat Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,MENENGAH,DASAR,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,DASAR,100-500,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,Biologi,MAN,IPS,TINGGI,MENENGAH,2.000-5.000,Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,TINGGI,TINGGI,5.000-20.000,Kurang,Cumlaude
Laki-laki,Biologi,MAN,IPS,DASAR,TINGGI,1.000-2.000,Kurang,Cumlaude
Laki-laki,Kimia,MAN,IPS,TINGGI,TINGGI,1.000-2.000,Sangat Baik,Cumlaude
